Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,timezone,ID,categories
Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,US/Eastern,00000,"Fashion; Food & Drink; Music; Auto, Boat & Air; Health; Sports & Fitness; Film & Media; Community; Government; Travel & Outdoor"
Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,US/Eastern,00001,"Other; Sports & Fitness; Government; Community; Film & Media; Health; Home & Lifestyle; Food & Drink; Fashion; Charity & Causes; Auto, Boat & Air; Spirituality; Performing & Visual Arts; Science & Tech; Hobbies"
5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-9:00 PM,6:00 AM-8:00 PM,6:00 AM-8:00 PM,US/Eastern,00002,
Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,US/Eastern,00003,Film & Media
Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,US/Eastern,00004,"School Activities; Travel & Outdoor; Hobbies; Film & Media; Community; Government; Health; Home & Lifestyle; Other; Business; Auto, Boat & Air; Performing & Visual Arts; Charity & Causes; Food & Drink; Music; Sports & Fitness; Holidays; Science & Tech; Fashion; Family & Education"
Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,US/Eastern,00005,Home & Lifestyle; Hobbies; Fashion; Spirituality
5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-9:00 PM,6:00 AM-8:00 PM,6:00 AM-8:00 PM,US/Eastern,00006,Music; Sports & Fitness; Performing & Visual Arts; Hobbies; Film & Media; Health; Spirituality; Fashion; School Activities; Science & Tech; Family & Education; Home & Lifestyle
5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-9:00 PM,6:00 AM-8:00 PM,6:00 AM-8:00 PM,US/Eastern,00007,Spirituality; Fashion; Other; Home & Lifestyle; Food & Drink; Travel & Outdoor; Business; Film & Media; Performing & Visual Arts; Science & Tech; Family & Education; Government; Community; Health; Charity & Causes; Sports & Fitness; Holidays; Music; School Activities; Hobbies
5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-10:00 PM,5:00 AM-9:00 PM,6:00 AM-8:00 PM,6:00 AM-8:00 PM,US/Eastern,00008,
Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,US/Eastern,00009,Travel & Outdoor; Spirituality; Family & Education; Health; Government; Community; Science & Tech; Other; Hobbies; Holidays; Sports & Fitness
